Fsm,totaltime,theoretical best,number of chunks,chunksize,total difference,differnece per chunk
ssl.test,7.459765,5.469568,2,6144,1.9901970000000002,0.9950985000000001
ssl.test,10.789387,2.8241280000000004,72,128,7.965259,0.11062859722222222
ssl.test,7.182774,6.188032,2,10240,0.9947420000000005,0.49737100000000023
ssl.test,8.282916,3.1457279999999996,10,1024,5.137188,0.5137188
ssl.test,6.60302,5.650015999999999,2,8192,0.9530040000000009,0.4765020000000004
ssl.test,7.668801,5.451872,3,4096,2.2169290000000004,0.7389763333333335
ssl.test,8.186465,2.6651520000000004,37,256,5.521312999999999,0.14922467567567566
ssl.test,9.068214,5.419103999999999,4,3072,3.6491100000000003,0.9122775000000001
ssl.test,10.033841,7.319008,3,5120,2.7148330000000005,0.9049443333333335
ssl.test,7.434063,4.037408,5,2048,3.396655,0.679331
ssl.test,9.696507,7.959296,2,9216,1.7372110000000003,0.8686055000000001
aim.test,11.416771,9.276192,2,7168,2.1405790000000007,1.0702895000000003
aim.test,8.343539,5.919488000000001,3,5120,2.4240509999999986,0.8080169999999995
aim.test,7.902909,6.019296,2,8192,1.8836130000000004,0.9418065000000002
aim.test,8.933629,3.44128,12,1024,5.492349,0.45769575
aim.test,9.526723,7.5494400000000015,2,9216,1.977282999999999,0.9886414999999995
aim.test,8.081004,1.9483199999999998,22,512,6.132684,0.27875836363636364
aim.test,8.36079,6.638687999999999,3,6144,1.7221020000000005,0.5740340000000002
aim.test,7.725023,5.131072,5,3072,2.5939510000000006,0.5187902000000001
aim.test,12.662044,2.3594239999999997,83,128,10.302620000000001,0.12412795180722892
aim.test,8.800931,7.070368,2,10240,1.730563,0.8652815
aim.test,8.095183,5.73808,3,4096,2.3571030000000004,0.7857010000000001
aim.test,8.287386,1.973952,43,256,6.313434,0.14682404651162792
aim.test,7.542667,5.078848000000001,6,2048,2.463818999999999,0.41063649999999985
